School_Name,School_Type,Specialisation,Campus_Name,Campus_Type,Campus_Address_Line_1,Campus_Address_Town,Campus_Address_State,Campus_Postcode,School_Phone,School_Website,Managed_Enrolments,Campus_Status,Campus_Year_Levels,primary_2020,year7_2020,year8_2020,year9_2020,year10_2020,year11_2020,year12_2020,DET_Region,type,Zone,Entity_Code,juniorsec_2020,seniorsec_2020,singlesex_2020,specialist_2020
Sovereign Hill School,Camp,,Sovereign Hill School,Camp,Bradshaw Street,Ballarat,VIC,"3350",03 5337 1143,http://www.sovereignhill.com.au/,,O,,,,,,,,,South West,NA,No,"1518101",,,,
The Alpine School,Camp,,Dinner Plain Campus,Camp,Great Alpine Road,Dinner Plain,VIC,"3898",03 5150 8100,,,O,,,,,,,,,North East,NA,No,"1883701",,,,
The Alpine School,Camp,,Snowy River Campus,Camp,Cape Conran Road,Marlo,VIC,"3888",03 5150 8100,,,O,,,,,,,,,North East,NA,No,"1883702",,,,
The Alpine School,Camp,,Gnurad Gundidj Campus,Camp,253 Blacks Road,Noorat,VIC,"3265",03 5150 8100,,,O,,,,,,,,,North East,NA,No,"1883703",,,,
Blackburn English Language School,Language,,Blackburn English Language School,Language,120 Eley Road,Burwood East,VIC,"3151",03 9803 4022,http://www.blackburnels.vic.edu.au/,,O,,,,,,,,,North East,NA,No,"1874701",,,,
Blackburn English Language School,Language,,Maroondah Campus,Language,431 Maroondah Highway,Croydon North,VIC,"3136",03 9803 4022,http://www.blackburnels.vic.edu.au/,,O,,,,,,,,,North East,NA,No,"1874702",,,,
Blackburn English Language School,Language,,Wodonga Campus,Language,22-24 Mitchell Street,Wodonga,VIC,"3690",03 9803 4022,http://www.blackburnels.vic.edu.au/,,O,,,,,,,,,North East,NA,No,"1874703",,,,
Collingwood English Language School,Language,,Broadmeadows Campus,Language,80 Johnstone Street,Broadmeadows,VIC,"3047",03 9419 7633,,,O,,,,,,,,,North West,NA,No,"1874803",,,,
Collingwood English Language School,Language,,Collingwood English Language School,Language,19 Cambridge Street,Collingwood,VIC,"3066",03 9419 7633,,,O,,,,,,,,,North West,NA,No,"1874802",,,,
Collingwood English Language School,Language,,Craigieburn Campus,Language,71 Northleigh Avenue,Craigieburn,VIC,"3064",03 9419 7633,,,O,,,,,,,,,North West,NA,No,"1874804",,,,
Noble Park English Language School,Language,,Noble Park English Language School,Language,21-35 Thomas Street,Noble Park,VIC,"3174",03 9546 9578,http://www.nobleparkels.vic.edu.au/,,O,,,,,,,,,South East,NA,No,"1874901",,,,
Noble Park English Language School,Language,,Casey Campus,Language,58-96 Fordholm Street,Hampton Park,VIC,"3796",03 9546 9578,http://www.nobleparkels.vic.edu.au/,,O,,,,,,,,,South East,NA,No,"1874902",,,,
Noble Park English Language School,Language,,Stonnington Glen Eira Campus,Language,166 Grange Road,Glen Huntly,VIC,"3163",03 9546 9578,http://www.nobleparkels.vic.edu.au/,,O,,,,,,,,,South East,NA,No,"1874904",,,,
Noble Park English Language School,Language,,Springvale Campus,Language,355a Springvale Road,Springvale,VIC,"3171",03 9546 9578,http://www.nobleparkels.vic.edu.au/,,O,,,,,,,,,South East,NA,No,"1874903",,,,
Western English Language School,Language,,Tottenham Campus,Language,46 South Road,Braybrook,VIC,"3019",03 9311 9325,,,O,,,,,,,,,South West,NA,No,"1883801",,,,
Western English Language School,Language,,Wyndham Secondary Campus,Language,Shaws Road,Werribee,VIC,"3030",03 9311 9325,,,O,,,,,,,,,South West,NA,No,"1883804",,,,
Western English Language School,Language,,Footscray Campus,Language,Hyde Street,Footscray,VIC,"3011",03 9311 9325,,,O,,,,,,,,,South West,NA,No,"1883802",,,,
Alamanda K-9 College,Pri/Sec,,Alamanda K-9 College,Pri/Sec,86-100 Alamanda Boulevard,Point Cook,VIC,"3030",03 8376 5200,http://www.alamandacollege.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1552801",x,,,
Altona College,Pri/Sec,,Altona College,Pri/Sec,103 A Grieve Parade,Altona,VIC,"3018",03 9250 8050,http://www.altonap9college.vic.edu.au/,,Open,Prep to 11,x,x,x,x,x,x,,South West,Straight line,Yes,"1885701",,,,
Apollo Bay P-12 College,Pri/Sec,,Apollo Bay P-12 College,Pri/Sec,Pengilley Avenue,Apollo Bay,VIC,"3233",03 5237 6483,http://www.apollobayp12.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1620301",,,,
Baden Powell P-9 College,Pri/Sec,,Derrimut Heath Campus,Primary,Sycamore Street,Hoppers Crossing,VIC,"3029",03 9748 8688,http://www.bpc.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1531501",,,,
Baden Powell P-9 College,Pri/Sec,,Tarneit Campus,Pri/Sec,81-97 Baden Powell Drive,Tarneit,VIC,"3029",03 9748 8688,http://www.bpc.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1531502",x,,,
Balmoral K-12 Community College,Pri/Sec,,Balmoral K-12 Community College,Pri/Sec,Harrow Balmoral Road,Balmoral,VIC,"3407",03 5570 1247,https://www.balmoralcommunitycollege.vic.edu.au/web/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1887201",,,,
Bannockburn P-12 College,Pri/Sec,,Bannockburn P-12 College,Pri/Sec,139 Milton Street,Bannockburn,VIC,"3331",03 5281 1755,http://www.bannockburnps.vic.edu.au,,Open,Prep to 10,x,x,x,x,x,,,South West,Shortest path,Yes,"1093201",,,,
Bayside P-12 College,Pri/Sec,,Williamstown Campus,Secondary,29-69 Kororoit Creek Road,Williamstown,VIC,"3016",03 9393 5800,http://www.bayside.vic.edu.au/,,Open,7 to 9,,x,x,x,,,,South West,Straight line,Yes,"1880002",,,,
Bayside P-12 College,Pri/Sec,,Altona North Campus,Pri/Sec,1 McArthurs Road,Altona North,VIC,"3025",03 9393 5800,http://www.bayside.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1880001",,,,
Bayside P-12 College,Pri/Sec,,Paisley Campus,Secondary,33 Blenheim Road,Newport,VIC,"3015",03 9393 5800,http://www.bayside.vic.edu.au/,,Open,10 to 12,,,,,x,x,x,South West,Non standard,Yes,"1880003",,,,
Benalla P-12 College,Pri/Sec,,Barkly Street Campus,Secondary,41-55 Barkly Street,Benalla,VIC,"3672",03 5761 2777,https://benallap12.vic.edu.au/,,O,,,,,,,,,North East,NA,No,"1891502",,,,
Benalla P-12 College,Pri/Sec,,Lake Nillacoote Camp,Camp,4035 Midland Highway,Benalla,VIC,"3672",03 5761 2777,https://benallap12.vic.edu.au/,,O,,,,,,,,,North East,NA,No,"1891504",,,,
Benalla P-12 College,Pri/Sec,,Clarke Street Campus,Pri/Sec,44 Clarke Street,Benalla,VIC,"3672",03 5761 2777,https://benallap12.vic.edu.au/,,O,,,,,,,,,North East,NA,No,"1891506",,,,
Benalla P-12 College,Pri/Sec,,Avon Street Campus,Primary,Avon Street,Benalla,VIC,"3672",03 5762 2418,https://benallap12.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1891505",,,,
Benalla P-12 College,Pri/Sec,,Waller Street Campus,Primary,127-139 Waller Street,Benalla,VIC,"3672",03 5762 2418,https://benallap12.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1891503",,,,
Benalla P-12 College,Pri/Sec,,Faithfull Street Campus,Pri/Sec,20 Faithfull Street,Benalla,VIC,"3672",03 5762 2418,https://benallap12.vic.edu.au/,,Open,7 to 12,,x,x,x,x,x,x,North East,Shortest path,Yes,"1891501",,,,
Birchip P-12 School,Pri/Sec,,Birchip P-12 School,Pri/Sec,43-47 Campbell Street,Birchip,VIC,"3483",03 5492 2287,http://www.birchip.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1883201",,,,
Boort District P-12 School,Pri/Sec,,Malone Street Campus,Pri/Sec,9 - 27 Malone Street,Boort,VIC,"3537",03 5455 2201,http://www.boortds.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1888201",,,,
Boronia K-12 College,Pri/Sec,,Rangeview Campus,Pri/Sec,35-37 Albert Avenue,Boronia,VIC,"3155",03 9760 4900,http://www.boroniak-12.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North East,Straight line,Yes,"1891301",,,,
Box Hill Senior Secondary College,Pri/Sec,,Box Hill Senior Secondary College,Pri/Sec,Dunloe Avenue,Mont Albert North,VIC,"3129",03 9890 0571,http://www.bhssc.vic.edu.au/,,Open,11 to 12,,,,,,,,North East,Straight line,Yes,"1705001",,x,,
Bright P-12 College,Pri/Sec,,Dinner Plain Campus,Alt Ed,Community House,Dinner Plain,VIC,"3898",03 5755 1166,http://www.brightp12.vic.edu.au,,O,,,,,,,,,North East,NA,No,"1077602",,,,
Bright P-12 College,Pri/Sec,,Bright P-12 College,Pri/Sec,46 Bakers Gully Road,Bright,VIC,"3741",03 5755 1166,http://www.brightp12.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,North East,Shortest path,Yes,"1077601",,,,
Brookside P-9 College,Pri/Sec,,Brookside P-9 College,Pri/Sec,13 -16 Federation Way,Caroline Springs,VIC,"3023",03 7379 1555,http://www.brooksidecollege.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1890801",x,,,
Camperdown College,Pri/Sec,,Wilson Street,Secondary,1 Wilson Street,Camperdown,VIC,"3260",03 5593 1617,http://www.camperdowncoll.vic.edu.au/,,Open,7 to 12,,x,x,x,x,x,x,South West,Shortest path,Yes,"1625901",,,,
Camperdown College,Pri/Sec,,Brooke Street,Primary,30 Brooke Street,Camperdown,VIC,"3260",03 5593 1617,http://www.camperdowncoll.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1625902",,,,
Cann River P-12 College,Pri/Sec,,Cann River P-12 College,Pri/Sec,20-24 Tamboon Road,Cann River,VIC,"3890",03 5158 6245,http://www.cannp-12.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South East,Shortest path,Yes,"1392001",,,,
Carranballac P-9 College,Pri/Sec,,Boardwalk Campus,Pri/Sec,Cnr Foxwood Dve & Dunnings Rd,Point Cook,VIC,"3030",03 9395 3533,http://www.carranballac.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1548601",x,,,
Carranballac P-9 College,Pri/Sec,,Jamieson Way Campus,Pri/Sec,Cnr Jamieson Way & La Rochelle,Point Cook,VIC,"3030",03 9395 3533,http://www.carranballac.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1548602",x,,,
Carwatha College P-12,Pri/Sec,,Carwatha College P-12,Pri/Sec,43-81 Browns Road,Noble Park,VIC,"3174",03 9795 5848,http://www.carwatha.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South East,Straight line,Yes,"1543501",,,,
Charles La Trobe P-12 College,Pri/Sec,,Deaf Facility,Deaf,235 Kingsbury Drive,Macleod West,VIC,"3081",03 9223 1400,https://www.charleslatrobecollege.vic.edu.au/,,O,,,,,,,,,North West,NA,No,"1889005",,,,
Charles La Trobe P-12 College,Pri/Sec,,The Pavilion Campus - Preston East,Community,1-3 Sylvester Grove,Preston East,VIC,"3083",03 9223 1400,https://www.charleslatrobecollege.vic.edu.au/,,O,,,,,,,,,North West,NA,No,"1889008",,,,
Charles La Trobe P-12 College,Pri/Sec,,Pavilion - The Edge South Morang Campus,Community,Cnr of Cooper Street and Dalton Road,Epping,VIC,"3076",03 9223 1400,https://www.charleslatrobecollege.vic.edu.au/,,O,,,,,,,,,North West,NA,No,"1889009",,,,
Charles La Trobe P-12 College,Pri/Sec,,Olympic Village Primary Campus,Primary,152 Southern Road,West Heidelberg,VIC,"3081",03 9223 1400,https://www.charleslatrobecollege.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1889002",,,,
Charles La Trobe P-12 College,Pri/Sec,,La Trobe Campus,Pri/Sec,235 Kingsbury Drive,Macleod West,VIC,"3085",03 9223 1400,https://www.charleslatrobecollege.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Straight line,Yes,"1889010",,,,
Charlton College,Pri/Sec,,Charlton College,Pri/Sec,33 - 49 Davies Street,Charlton,VIC,"3525",03 5491 1280,http://www.charlton.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1883001",,,,
Collingwood College,Pri/Sec,,Collingwood Alternative School,Secondary,7 Stanley Street,Collingwood,VIC,"3066",03 9417 6681,http://www.collingwood.vic.edu.au/,,O,,,,,,,,,North West,NA,No,"1621202",,,,
Collingwood College,Pri/Sec,,Collingwood College,Pri/Sec,Cnr Cromwell St/McCutcheon Way,Collingwood,VIC,"3066",03 9417 6681,http://www.collingwood.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Straight line,Yes,"1621201",,,,
Corryong College,Pri/Sec,,Corryong College,Pri/Sec,27-45 Towong Road,Corryong,VIC,"3707",02 6076 1566,http://www.corryong.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,North East,Shortest path,Yes,"1884301",,,,
Creekside K-9 College,Pri/Sec,,Creekside K-9 College,Pri/Sec,9 The Crossing,Caroline Springs,VIC,"3023",03 8363 6400,http://www.creeksidecollege.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1890901",x,,,
Derrinallum P-12 College,Pri/Sec,,Derrinallum P-12 College,Pri/Sec,Campbell Street,Derrinallum,VIC,"3325",03 5597 6625,http://www.derrinallump12.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1537501",,,,
Dohertys Creek P-9 College,Pri/Sec,,Dohertys Creek P-9 College,Pri/Sec,60 Elmhurst Road,Truganina,VIC,"3029",03 8560 6079,https://www.dohertyscreekcollege.com/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1839701",,,,
Doveton College,Pri/Sec,,Doveton College,Pri/Sec,62 Tristania Street,Doveton,VIC,"3177",03 8765 0111,http://www.dovetoncollege.vic.edu.au/,,Open,Prep to 9,x,,,,,,,South East,Straight line,Yes,"1890501",x,,,
East Loddon P-12 College,Pri/Sec,,East Loddon P-12 College,Pri/Sec,Dingee Road,Dingee,VIC,"3571",03 5436 8300,http://www.eastloddp12.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1621701",,,,
Edenhope College,Pri/Sec,,Edenhope College,Pri/Sec,40-48 Lake Street,Edenhope,VIC,"3318",03 5585 1277,http://www.edenhope.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1543201",,,,
Featherbrook P-9 College,Pri/Sec,,Featherbrook P-9 College,Pri/Sec,281 Boardwalk Boulevard,Point Cook,VIC,"3030",03 8366 7500,http://www.featherbrookp9.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1889901",x,,,
Goroke P-12 College,Pri/Sec,,Goroke P-12 College,Pri/Sec,55 Natimuk-Frances Road,Goroke,VIC,"3412",03 5386 1024,http://www.gorokep12.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1622301",,,,
Hawkesdale P12 College,Pri/Sec,,Hawkesdale P12 College,Pri/Sec,65 Mitchell Street,Hawkesdale,VIC,"3287",03 5560 7225,http://www.hawkesdalecol.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1543401",,,,
Hazel Glen College,Pri/Sec,,Hazel Glen College,Pri/Sec,115 Eminence Blvd,Doreen,VIC,"3754",03 9717 7500,http://www.hgc.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Straight line,Yes,"1555201",,,,
Hopetoun P-12 College,Pri/Sec,,Hopetoun P-12 College,Pri/Sec,1 Dodgshun Street,Hopetoun,VIC,"3396",03 5083 3203,https://hopetounp12.wordpress.com/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1890402",,,,
Kaniva College,Pri/Sec,,Kaniva College,Pri/Sec,2 Farmers Street,Kaniva,VIC,"3419",03 5392 2494,http://www.kanivacollege.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1884201",,,,
Kyabram P-12 College,Pri/Sec,,Haslem Campus,Primary,Haslem Street,Kyabram,VIC,"3620",03 5851 2100,http://www.kyabramsc.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1796502",,,,
Kyabram P-12 College,Pri/Sec,,Kyabram P-12 College,Secondary,57 Fischer Street,Kyabram,VIC,"3620",03 5851 2100,http://www.kyabramsc.vic.edu.au/,,Open,7 to 12,,x,x,x,x,x,x,North West,Shortest path,Yes,"1796501",,,,
Lake Bolac College,Pri/Sec,,Lake Bolac College,Pri/Sec,90 Montgomery Street,Lake Bolac,VIC,"3351",03 5350 2302,http://www.lakebolacc.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1085401",,,,
Lavers Hill K-12 College,Pri/Sec,,Turning Point Campus,Alt Ed,6 Murray St,Colac,VIC,"3250",03 5237 3213,http://www.lavershillp12c.vic.edu.au,,O,,,,,,,,,South West,NA,No,"1623105",,,,
Lavers Hill K-12 College,Pri/Sec,,Lavers Hill K-12 College,Pri/Sec,Great Ocean Road,Lavers Hill,VIC,"3238",03 5237 3213,http://www.lavershillp12c.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1623101",,,,
Laverton P-12 College,Pri/Sec,,Laverton P-12 College,Pri/Sec,91 Bladin Street,Laverton,VIC,"3028",03 9369 1833,http://www.lavertoncollege.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Straight line,Yes,"1886101",,,,
Lorne P-12 College,Pri/Sec,,Lorne P-12 College,Pri/Sec,15 Grove Road,Lorne,VIC,"3232",03 5289 1585,http://www.lornep12.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1799701",,,,
Macleod College,Pri/Sec,,Macleod High Campus,Pri/Sec,Carwarp Street,Macleod,VIC,"3085",03 9459 0222,http://www.macleod.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Straight line,Yes,"1624201",,,,
Mallacoota P-12 College,Pri/Sec,,Mallacoota P-12 College,Pri/Sec,25 Bucknall Street,Mallacoota,VIC,"3892",03 5158 0254,http://www.mallp12.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South East,Shortest path,Yes,"1351501",,,,
Manangatang P-12 College,Pri/Sec,,Manangatang P-12 College,Pri/Sec,4105 Mallee Highway,Manangatang,VIC,"3546",03 5035 1270,http://www.manang.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1623501",,,,
Manor Lakes P-12 College,Pri/Sec,,Manor Lakes P-12 College,Pri/Sec,2-50 Minindee Road,Wyndham Vale,VIC,"3024",03 9741 4202,http://www.manorlakesp12.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Straight line,Yes,"1884801",,,,
Maryborough Education Centre,Pri/Sec,,Maryborough FLO,Alt Ed,53 Burns Street,Maryborough,VIC,"3465",03 5461 7900,http://www.maryborougheducationcentre.vic.edu.au/,,O,,,,,,,,,North West,NA,No,"1884507",,,,
Bulleen Heights School,Specialist,Autism Spectrum Disorder,Bulleen Heights School,Day Spec,49-61 Pleasant Road,Bulleen,VIC,"3105",03 9850 7122,http://www.bulleenheights.vic.edu.au,,O,Primary to secondary,,,,,,,,North East,NA,No,"1509901",,,,x
Maryborough Education Centre,Pri/Sec,,Balaclava Road Campus,Pri/Sec,102 - 192 Balaclava Road,Maryborough,VIC,"3465",03 5461 7900,http://www.maryborougheducationcentre.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1884501",,,,
Merbein P-10 College,Pri/Sec,,Secondary Campus,Pri/Sec,188-206 Commercial Street,Merbein,VIC,"3505",03 5025 2501,http://www.merbeinp10.vic.edu.au/,,Open,Prep to 10,x,x,x,x,x,,,North West,Shortest path,Yes,"1888601",x,,,
Mernda Central P-12 College,Pri/Sec,,Mernda Central P-12 College,Pri/Sec,70 Breadalbane Avenue,Mernda,VIC,"3754",03 8776 9600,http://www.merndacentralp12college.vic.edu.au/,,Open,Prep to 10,x,x,x,x,x,,,North West,Straight line,Yes,"1889701",,,,
Mortlake P-12 College,Pri/Sec,,Mortlake P-12 College,Pri/Sec,10 Hood Avenue,Mortlake,VIC,"3272",03 5599 2204,http://www.mortlakep12.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1537601",,,,
Mount Ridley P-12 College,Pri/Sec,,Mount Ridley P-12 College,Pri/Sec,2-30 Hampton Street,Craigieburn,VIC,"3064",03 8338 3600,http://www.mountridleycollege.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Straight line,Yes,"1885301",,,,
Murrayville Community College,Pri/Sec,,Murrayville Community College,Pri/Sec,20 Francis Street,Murrayville,VIC,"3512",03 5095 2001,http://www.murrayvillecc.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1543301",,,,
Murtoa College,Pri/Sec,,Murtoa College,Pri/Sec,Webb Street,Murtoa,VIC,"3390",03 5385 2381,http://www.murtoasc.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1154901",,,,
Myrtleford P-12 College,Pri/Sec,,Myrtleford P-12 College,Pri/Sec,Prince Street,Myrtleford,VIC,"3737",03 5752 1174,http://myrtlefordp12.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,North East,Shortest path,Yes,"1887301",,,,
Narre Warren South P-12 College,Pri/Sec,,Narre Warren South P-12 College,Pri/Sec,Amberly Park Drive,Narre Warren South,VIC,"3805",03 9704 3333,http://nwsc.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South East,Straight line,Yes,"1883901",,,,
Nhill College,Pri/Sec,,Nhill College,Pri/Sec,Whitehead Avenue,Nhill,VIC,"3418",03 5391 2111,http://www.nhillcollege.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1883301",,,,
Northern Bay P-12 College,Pri/Sec,,Straughtonvale Outdoor Education Centre,Camp,515 Straughtonvale Road,Straughtonvale,VIC,"3221",03 5224 9700,http://www.northernbaycollege.vic.edu.au/,,O,,,,,,,,,South West,NA,No,"1890108",,,,
Northern Bay P-12 College,Pri/Sec,,Tallis Street P-8 Campus,Pri/Sec,57 Tallis Street,Norlane,VIC,"3214",03 5224 9700,http://www.northernbaycollege.vic.edu.au/,,Open,Prep to 8,x,x,x,,,,,South West,Straight line,Yes,"1890105",,,,
Northern Bay P-12 College,Pri/Sec,,Hendy Street P-8 Campus,Pri/Sec,38 Hendy Street,Corio,VIC,"3214",03 5224 9700,http://www.northernbaycollege.vic.edu.au/,,Open,Prep to 8,x,x,x,,,,,South West,Straight line,Yes,"1890103",,,,
Northern Bay P-12 College,Pri/Sec,,Peacock Avenue P-8 Campus,Pri/Sec,Peacock Avenue,Norlane,VIC,"3214",03 5224 9700,http://www.northernbaycollege.vic.edu.au/,,Open,Prep to 8,x,x,x,,,,,South West,Straight line,Yes,"1890102",,,,
Northern Bay P-12 College,Pri/Sec,,Goldsworthy Road 9-12 Campus,Secondary,3-25 Goldsworthy Road,Corio,VIC,"3214",03 5224 9700,http://www.northernbaycollege.vic.edu.au/,,Open,9 to 12,,,,x,x,x,x,South West,Non standard,Yes,"1890101",,,,
Northern Bay P-12 College,Pri/Sec,,Wexford Court P-8 Campus,Pri/Sec,Wexford Court,Corio,VIC,"3214",03 5224 9700,http://www.northernbaycollege.vic.edu.au/,,Open,Prep to 8,x,x,x,,,,,South West,Straight line,Yes,"1890104",,,,
Outdoor School,Pri/Sec,,Outdoor School,Secondary,1 Black Possum Road,Bogong,VIC,"3699",03 5754 1732,http://www.boec.vic.edu.au,,O,,,,,,,,,North East,NA,No,"1761801",,,,
Outdoor School,Pri/Sec,,Fifteen Mile Creek Camp,Pri/Sec,692 Benalla Whitfield Road,Greta South,VIC,"3675",03 5754 1732,http://www.boec.vic.edu.au,,O,,,,,,,,,North East,NA,No,"1761802",,,,
Ouyen P-12 College,Pri/Sec,,Ouyen P-12 College,Pri/Sec,1-35 Fuller Street,Ouyen,VIC,"3490",03 5092 1182,http://www.ouyenp12college.vic.edu.au,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1822001",,,,
Phoenix P-12 Community College,Pri/Sec,,Redan Campus,Primary,32 - 48 Hertford Street,Sebastopol,VIC,"3356",03 5329 3293,https://www.phoenix.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1890002",,,,
Phoenix P-12 Community College,Pri/Sec,,Sebastopol Campus,Pri/Sec,53 - 71 Hertford Street,Sebastopol,VIC,"3356",03 5329 3293,https://www.phoenix.vic.edu.au/,,Open,7 to 12,,x,x,x,x,x,x,South West,Straight line,Yes,"1890001",,,,
Point Cook Prep - Year 9 College,Pri/Sec,,Point Cook Prep - Year 9 College,Pri/Sec,18 - 50 Ponsford Drive,Point Cook,VIC,"3030",03 8348 7100,http://www.pcc.vic.edu.au/,,Open,Prep to 9,x,x,x,x,,,,South West,Straight line,Yes,"1415901",x,,,
Pyramid Hill College,Pri/Sec,,Pyramid Hill College,Pri/Sec,101 Kelly Street,Pyramid Hill,VIC,"3575",03 5455 7377,http://www.pyramidhillc.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1171201",,,,
Rainbow P-12 College,Pri/Sec,,Rainbow P-12 College,Pri/Sec,17 Albert Street,Rainbow,VIC,"3424",03 5395 1063,http://rainbowp12.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,South West,Shortest path,Yes,"1825601",,,,
Robinvale College,Pri/Sec,,Robinvale College,Pri/Sec,88 George Street,Robinvale,VIC,"3549",03 5026 3704,https://www.robinvale.vic.edu.au/,,Open,Prep to 12,x,x,x,x,x,x,x,North West,Shortest path,Yes,"1827601",,,,
